modalidad;tipo;subtipo;count
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;A EMPRESA DE TRASLADO DE VALORES;0.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;OTROS;0.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;SIN DATOS;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;A BANCOS;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;A CASA DE BOLSA;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;A CASA DE CAMBIO;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;A EMPRESA DE TRASLADO DE VALORES;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;OTROS;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;SIN DATOS;0.0
ROBO EN CARRETERAS;CON VIOLENCIA;A CAMIONES DE CARGA;0.0
ROBO EN CARRETERAS;CON VIOLENCIA;A AUTOBUSES;4.0
ROBO EN CARRETERAS;CON VIOLENCIA;A VEHICULOS PARTICULARES;0.0
ROBO EN CARRETERAS;CON VIOLENCIA;OTROS;0.0
ROBO EN CARRETERAS;CON VIOLENCIA;SIN DATOS;0.0
ROBO EN CARRETERAS;SIN VIOLENCIA;A CAMIONES DE CARGA;0.0
ROBO EN CARRETERAS;SIN VIOLENCIA;A AUTOBUSES;0.0
ROBO EN CARRETERAS;SIN VIOLENCIA;A VEHICULOS PARTICULARES;0.0
ROBO EN CARRETERAS;SIN VIOLENCIA;OTROS;0.0
ROBO EN CARRETERAS;SIN VIOLENCIA;SIN DATOS;0.0
HOMICIDIOS;CULPOSOS;SIN DATOS;1.0
LESIONES;DOLOSAS;CON ARMA BLANCA;11.0
LESIONES;DOLOSAS;CON ARMA DE FUEGO;2.0
LESIONES;DOLOSAS;OTROS;98.0
LESIONES;DOLOSAS;SIN DATOS;14.0
LESIONES;CULPOSAS;CON ARMA BLANCA;0.0
LESIONES;CULPOSAS;CON ARMA DE FUEGO;0.0
DELITOS PATRIMONIALES;ABUSO DE CONFIANZA;ABUSO DE CONFIANZA;56.0
DELITOS PATRIMONIALES;DAÑO EN PROPIEDAD AJENA;DAÑO EN PROPIEDAD AJENA;167.0
DELITOS PATRIMONIALES;EXTORSION;EXTORSION;1.0
DELITOS PATRIMONIALES;FRAUDE;FRAUDE;93.0
DELITOS PATRIMONIALES;DESPOJO;CON VIOLENCIA;0.0
DELITOS PATRIMONIALES;DESPOJO;SIN VIOLENCIA;0.0
DELITOS PATRIMONIALES;DESPOJO;SIN DATOS;10.0
DELITOS SEXUALES (VIOLACION);VIOLACION;VIOLACION;7.0
HOMICIDIOS;DOLOSOS;CON ARMA DE FUEGO;0.0
HOMICIDIOS;DOLOSOS;CON ARMA BLANCA;0.0
HOMICIDIOS;DOLOSOS;OTROS;0.0
HOMICIDIOS;DOLOSOS;SIN DATOS;0.0
HOMICIDIOS;CULPOSOS;CON ARMA DE FUEGO;0.0
HOMICIDIOS;CULPOSOS;CON ARMA BLANCA;0.0
HOMICIDIOS;CULPOSOS;OTROS;11.0
LESIONES;CULPOSAS;OTROS;73.0
LESIONES;CULPOSAS;SIN DATOS;4.0
OTROS DELITOS;AMENAZAS;AMENAZAS;55.0
OTROS DELITOS;ESTUPRO;ESTUPRO;3.0
OTROS DELITOS;OTROS SEXUALES;OTROS SEXUALES;18.0
OTROS DELITOS;RESTO DE LOS DELITOS (OTROS);RESTO DE LOS DELITOS (OTROS);194.0
PRIV. DE LA LIBERTAD (SECUESTRO);SECUESTRO;SECUESTRO;0.0
ROBO COMUN;CON VIOLENCIA;A CASA HABITACION;1.0
ROBO COMUN;CON VIOLENCIA;A NEGOCIO;9.0
ROBO COMUN;CON VIOLENCIA;DE VEHICULOS;1.0
ROBO COMUN;CON VIOLENCIA;A TRANSPORTISTAS;0.0
ROBO COMUN;CON VIOLENCIA;A TRANSEUNTES;24.0
ROBO COMUN;CON VIOLENCIA;OTROS;1.0
ROBO COMUN;CON VIOLENCIA;SIN DATOS;0.0
ROBO COMUN;SIN VIOLENCIA;A CASA HABITACION;74.0
ROBO COMUN;SIN VIOLENCIA;A NEGOCIO;64.0
ROBO COMUN;SIN VIOLENCIA;DE VEHICULOS;49.0
ROBO COMUN;SIN VIOLENCIA;A TRANSPORTISTAS;0.0
ROBO COMUN;SIN VIOLENCIA;A TRANSEUNTES;40.0
ROBO COMUN;SIN VIOLENCIA;OTROS;100.0
ROBO COMUN;SIN VIOLENCIA;SIN DATOS;0.0
ROBO DE GANADO (ABIGEATO);ABIGEATO;ABIGEATO;4.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;A BANCOS;0.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;A CASA DE BOLSA;0.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;A CASA DE CAMBIO;0.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;A EMPRESA DE TRASLADO DE VALORES;0.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;OTROS;0.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;SIN DATOS;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;A BANCOS;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;A CASA DE BOLSA;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;A CASA DE CAMBIO;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;A EMPRESA DE TRASLADO DE VALORES;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;OTROS;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;SIN DATOS;0.0
ROBO EN CARRETERAS;CON VIOLENCIA;A CAMIONES DE CARGA;0.0
ROBO EN CARRETERAS;CON VIOLENCIA;A AUTOBUSES;0.0
ROBO EN CARRETERAS;CON VIOLENCIA;A VEHICULOS PARTICULARES;0.0
ROBO EN CARRETERAS;CON VIOLENCIA;OTROS;0.0
ROBO EN CARRETERAS;CON VIOLENCIA;SIN DATOS;0.0
ROBO EN CARRETERAS;SIN VIOLENCIA;A CAMIONES DE CARGA;0.0
ROBO EN CARRETERAS;SIN VIOLENCIA;A AUTOBUSES;0.0
ROBO EN CARRETERAS;SIN VIOLENCIA;A VEHICULOS PARTICULARES;0.0
ROBO EN CARRETERAS;SIN VIOLENCIA;OTROS;0.0
ROBO EN CARRETERAS;SIN VIOLENCIA;SIN DATOS;0.0
HOMICIDIOS;CULPOSOS;SIN DATOS;0.0
LESIONES;DOLOSAS;CON ARMA BLANCA;7.0
LESIONES;DOLOSAS;CON ARMA DE FUEGO;0.0
LESIONES;DOLOSAS;OTROS;107.0
LESIONES;DOLOSAS;SIN DATOS;14.0
LESIONES;CULPOSAS;CON ARMA BLANCA;0.0
LESIONES;CULPOSAS;CON ARMA DE FUEGO;0.0
DELITOS PATRIMONIALES;ABUSO DE CONFIANZA;ABUSO DE CONFIANZA;28.0
DELITOS PATRIMONIALES;DAÑO EN PROPIEDAD AJENA;DAÑO EN PROPIEDAD AJENA;129.0
DELITOS PATRIMONIALES;EXTORSION;EXTORSION;0.0
DELITOS PATRIMONIALES;FRAUDE;FRAUDE;38.0
DELITOS PATRIMONIALES;DESPOJO;CON VIOLENCIA;0.0
DELITOS PATRIMONIALES;DESPOJO;SIN VIOLENCIA;0.0
DELITOS PATRIMONIALES;DESPOJO;SIN DATOS;11.0
DELITOS SEXUALES (VIOLACION);VIOLACION;VIOLACION;7.0
HOMICIDIOS;DOLOSOS;CON ARMA DE FUEGO;0.0
HOMICIDIOS;DOLOSOS;CON ARMA BLANCA;0.0
HOMICIDIOS;DOLOSOS;OTROS;1.0
HOMICIDIOS;DOLOSOS;SIN DATOS;0.0
HOMICIDIOS;CULPOSOS;CON ARMA DE FUEGO;0.0
HOMICIDIOS;CULPOSOS;CON ARMA BLANCA;0.0
HOMICIDIOS;CULPOSOS;OTROS;10.0
LESIONES;CULPOSAS;OTROS;57.0
LESIONES;CULPOSAS;SIN DATOS;2.0
OTROS DELITOS;AMENAZAS;AMENAZAS;41.0
OTROS DELITOS;ESTUPRO;ESTUPRO;1.0
OTROS DELITOS;OTROS SEXUALES;OTROS SEXUALES;13.0
OTROS DELITOS;RESTO DE LOS DELITOS (OTROS);RESTO DE LOS DELITOS (OTROS);243.0
PRIV. DE LA LIBERTAD (SECUESTRO);SECUESTRO;SECUESTRO;0.0
ROBO COMUN;CON VIOLENCIA;A CASA HABITACION;1.0
ROBO COMUN;CON VIOLENCIA;A NEGOCIO;5.0
ROBO COMUN;CON VIOLENCIA;DE VEHICULOS;2.0
ROBO COMUN;CON VIOLENCIA;A TRANSPORTISTAS;0.0
ROBO COMUN;CON VIOLENCIA;A TRANSEUNTES;8.0
ROBO COMUN;CON VIOLENCIA;OTROS;1.0
ROBO COMUN;CON VIOLENCIA;SIN DATOS;0.0
ROBO COMUN;SIN VIOLENCIA;A CASA HABITACION;77.0
ROBO COMUN;SIN VIOLENCIA;A NEGOCIO;45.0
ROBO COMUN;SIN VIOLENCIA;DE VEHICULOS;36.0
ROBO COMUN;SIN VIOLENCIA;A TRANSPORTISTAS;0.0
ROBO COMUN;SIN VIOLENCIA;A TRANSEUNTES;37.0
ROBO COMUN;SIN VIOLENCIA;OTROS;53.0
ROBO COMUN;SIN VIOLENCIA;SIN DATOS;0.0
ROBO DE GANADO (ABIGEATO);ABIGEATO;ABIGEATO;4.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;A BANCOS;0.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;A CASA DE BOLSA;0.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;A CASA DE CAMBIO;0.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;A EMPRESA DE TRASLADO DE VALORES;0.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;OTROS;0.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;SIN DATOS;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;A BANCOS;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;A CASA DE BOLSA;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;A CASA DE CAMBIO;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;A EMPRESA DE TRASLADO DE VALORES;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;OTROS;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;SIN DATOS;0.0
ROBO EN CARRETERAS;CON VIOLENCIA;A CAMIONES DE CARGA;0.0
ROBO EN CARRETERAS;CON VIOLENCIA;A AUTOBUSES;0.0
ROBO EN CARRETERAS;CON VIOLENCIA;A VEHICULOS PARTICULARES;0.0
ROBO EN CARRETERAS;CON VIOLENCIA;OTROS;0.0
ROBO EN CARRETERAS;CON VIOLENCIA;SIN DATOS;0.0
ROBO EN CARRETERAS;SIN VIOLENCIA;A CAMIONES DE CARGA;0.0
ROBO EN CARRETERAS;SIN VIOLENCIA;A AUTOBUSES;0.0
ROBO EN CARRETERAS;SIN VIOLENCIA;A VEHICULOS PARTICULARES;0.0
ROBO EN CARRETERAS;SIN VIOLENCIA;OTROS;0.0
ROBO EN CARRETERAS;SIN VIOLENCIA;SIN DATOS;0.0
HOMICIDIOS;CULPOSOS;SIN DATOS;1.0
LESIONES;DOLOSAS;CON ARMA BLANCA;6.0
LESIONES;DOLOSAS;CON ARMA DE FUEGO;2.0
LESIONES;DOLOSAS;OTROS;97.0
LESIONES;DOLOSAS;SIN DATOS;4.0
LESIONES;CULPOSAS;CON ARMA BLANCA;1.0
LESIONES;CULPOSAS;CON ARMA DE FUEGO;0.0
DELITOS PATRIMONIALES;ABUSO DE CONFIANZA;ABUSO DE CONFIANZA;35.0
DELITOS PATRIMONIALES;DAÑO EN PROPIEDAD AJENA;DAÑO EN PROPIEDAD AJENA;155.0
DELITOS PATRIMONIALES;EXTORSION;EXTORSION;1.0
DELITOS PATRIMONIALES;FRAUDE;FRAUDE;64.0
DELITOS PATRIMONIALES;DESPOJO;CON VIOLENCIA;0.0
DELITOS PATRIMONIALES;DESPOJO;SIN VIOLENCIA;0.0
DELITOS PATRIMONIALES;DESPOJO;SIN DATOS;11.0
DELITOS SEXUALES (VIOLACION);VIOLACION;VIOLACION;6.0
HOMICIDIOS;DOLOSOS;CON ARMA DE FUEGO;0.0
HOMICIDIOS;DOLOSOS;CON ARMA BLANCA;1.0
HOMICIDIOS;DOLOSOS;OTROS;1.0
HOMICIDIOS;DOLOSOS;SIN DATOS;0.0
HOMICIDIOS;CULPOSOS;CON ARMA DE FUEGO;0.0
HOMICIDIOS;CULPOSOS;CON ARMA BLANCA;0.0
LESIONES;CULPOSAS;OTROS;54.0
LESIONES;CULPOSAS;SIN DATOS;1.0
OTROS DELITOS;AMENAZAS;AMENAZAS;38.0
OTROS DELITOS;ESTUPRO;ESTUPRO;0.0
OTROS DELITOS;OTROS SEXUALES;OTROS SEXUALES;17.0
OTROS DELITOS;RESTO DE LOS DELITOS (OTROS);RESTO DE LOS DELITOS (OTROS);144.0
PRIV. DE LA LIBERTAD (SECUESTRO);SECUESTRO;SECUESTRO;0.0
ROBO COMUN;CON VIOLENCIA;A CASA HABITACION;2.0
ROBO COMUN;CON VIOLENCIA;A NEGOCIO;5.0
ROBO COMUN;CON VIOLENCIA;DE VEHICULOS;0.0
ROBO COMUN;CON VIOLENCIA;A TRANSPORTISTAS;0.0
ROBO COMUN;CON VIOLENCIA;A TRANSEUNTES;10.0
ROBO COMUN;CON VIOLENCIA;OTROS;3.0
ROBO COMUN;CON VIOLENCIA;SIN DATOS;0.0
ROBO COMUN;SIN VIOLENCIA;A CASA HABITACION;81.0
ROBO COMUN;SIN VIOLENCIA;A NEGOCIO;54.0
ROBO COMUN;SIN VIOLENCIA;DE VEHICULOS;31.0
ROBO COMUN;SIN VIOLENCIA;A TRANSPORTISTAS;0.0
ROBO COMUN;SIN VIOLENCIA;A TRANSEUNTES;15.0
ROBO COMUN;SIN VIOLENCIA;OTROS;47.0
ROBO COMUN;SIN VIOLENCIA;SIN DATOS;0.0
ROBO DE GANADO (ABIGEATO);ABIGEATO;ABIGEATO;1.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;A BANCOS;0.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;A CASA DE BOLSA;0.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;A CASA DE CAMBIO;0.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;A EMPRESA DE TRASLADO DE VALORES;0.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;OTROS;0.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;SIN DATOS;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;A BANCOS;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;A CASA DE BOLSA;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;A CASA DE CAMBIO;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;A EMPRESA DE TRASLADO DE VALORES;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;OTROS;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;SIN DATOS;0.0
ROBO EN CARRETERAS;CON VIOLENCIA;A CAMIONES DE CARGA;0.0
ROBO EN CARRETERAS;CON VIOLENCIA;A AUTOBUSES;0.0
ROBO EN CARRETERAS;CON VIOLENCIA;A VEHICULOS PARTICULARES;0.0
ROBO EN CARRETERAS;CON VIOLENCIA;OTROS;0.0
ROBO EN CARRETERAS;CON VIOLENCIA;SIN DATOS;0.0
ROBO EN CARRETERAS;SIN VIOLENCIA;A CAMIONES DE CARGA;0.0
ROBO EN CARRETERAS;SIN VIOLENCIA;A AUTOBUSES;0.0
ROBO EN CARRETERAS;SIN VIOLENCIA;A VEHICULOS PARTICULARES;0.0
ROBO EN CARRETERAS;SIN VIOLENCIA;OTROS;0.0
ROBO EN CARRETERAS;SIN VIOLENCIA;SIN DATOS;0.0
HOMICIDIOS;CULPOSOS;OTROS;11.0
HOMICIDIOS;CULPOSOS;SIN DATOS;0.0
LESIONES;DOLOSAS;CON ARMA BLANCA;8.0
LESIONES;DOLOSAS;CON ARMA DE FUEGO;0.0
LESIONES;DOLOSAS;OTROS;99.0
LESIONES;DOLOSAS;SIN DATOS;7.0
LESIONES;CULPOSAS;CON ARMA BLANCA;0.0
LESIONES;CULPOSAS;CON ARMA DE FUEGO;0.0
DELITOS PATRIMONIALES;ABUSO DE CONFIANZA;ABUSO DE CONFIANZA;48.0
DELITOS PATRIMONIALES;DAÑO EN PROPIEDAD AJENA;DAÑO EN PROPIEDAD AJENA;210.0
DELITOS PATRIMONIALES;EXTORSION;EXTORSION;1.0
DELITOS PATRIMONIALES;FRAUDE;FRAUDE;77.0
DELITOS PATRIMONIALES;DESPOJO;CON VIOLENCIA;0.0
DELITOS PATRIMONIALES;DESPOJO;SIN VIOLENCIA;0.0
DELITOS PATRIMONIALES;DESPOJO;SIN DATOS;16.0
DELITOS SEXUALES (VIOLACION);VIOLACION;VIOLACION;3.0
HOMICIDIOS;DOLOSOS;CON ARMA DE FUEGO;1.0
HOMICIDIOS;DOLOSOS;CON ARMA BLANCA;0.0
HOMICIDIOS;DOLOSOS;OTROS;2.0
HOMICIDIOS;DOLOSOS;SIN DATOS;0.0
HOMICIDIOS;CULPOSOS;CON ARMA DE FUEGO;0.0
HOMICIDIOS;CULPOSOS;CON ARMA BLANCA;0.0
LESIONES;CULPOSAS;OTROS;62.0
LESIONES;CULPOSAS;SIN DATOS;2.0
OTROS DELITOS;AMENAZAS;AMENAZAS;46.0
OTROS DELITOS;ESTUPRO;ESTUPRO;2.0
OTROS DELITOS;OTROS SEXUALES;OTROS SEXUALES;26.0
OTROS DELITOS;RESTO DE LOS DELITOS (OTROS);RESTO DE LOS DELITOS (OTROS);167.0
PRIV. DE LA LIBERTAD (SECUESTRO);SECUESTRO;SECUESTRO;1.0
ROBO COMUN;CON VIOLENCIA;A CASA HABITACION;3.0
ROBO COMUN;CON VIOLENCIA;A NEGOCIO;7.0
ROBO COMUN;CON VIOLENCIA;DE VEHICULOS;1.0
ROBO COMUN;CON VIOLENCIA;A TRANSPORTISTAS;0.0
ROBO COMUN;CON VIOLENCIA;A TRANSEUNTES;12.0
ROBO COMUN;CON VIOLENCIA;OTROS;1.0
ROBO COMUN;CON VIOLENCIA;SIN DATOS;0.0
ROBO COMUN;SIN VIOLENCIA;A CASA HABITACION;136.0
ROBO COMUN;SIN VIOLENCIA;A NEGOCIO;78.0
ROBO COMUN;SIN VIOLENCIA;DE VEHICULOS;30.0
ROBO COMUN;SIN VIOLENCIA;A TRANSPORTISTAS;0.0
ROBO COMUN;SIN VIOLENCIA;A TRANSEUNTES;27.0
ROBO COMUN;SIN VIOLENCIA;OTROS;51.0
ROBO COMUN;SIN VIOLENCIA;SIN DATOS;0.0
ROBO DE GANADO (ABIGEATO);ABIGEATO;ABIGEATO;2.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;A BANCOS;1.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;A CASA DE BOLSA;0.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;A CASA DE CAMBIO;0.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;A EMPRESA DE TRASLADO DE VALORES;0.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;OTROS;0.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;SIN DATOS;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;A BANCOS;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;A CASA DE BOLSA;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;A CASA DE CAMBIO;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;A EMPRESA DE TRASLADO DE VALORES;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;OTROS;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;SIN DATOS;0.0
ROBO EN CARRETERAS;CON VIOLENCIA;A CAMIONES DE CARGA;0.0
ROBO EN CARRETERAS;CON VIOLENCIA;A AUTOBUSES;0.0
ROBO EN CARRETERAS;CON VIOLENCIA;A VEHICULOS PARTICULARES;0.0
ROBO EN CARRETERAS;CON VIOLENCIA;OTROS;0.0
ROBO EN CARRETERAS;CON VIOLENCIA;SIN DATOS;0.0
ROBO EN CARRETERAS;SIN VIOLENCIA;A CAMIONES DE CARGA;0.0
ROBO EN CARRETERAS;SIN VIOLENCIA;A AUTOBUSES;0.0
ROBO EN CARRETERAS;SIN VIOLENCIA;A VEHICULOS PARTICULARES;0.0
ROBO EN CARRETERAS;SIN VIOLENCIA;OTROS;0.0
ROBO EN CARRETERAS;SIN VIOLENCIA;SIN DATOS;0.0
HOMICIDIOS;CULPOSOS;OTROS;17.0
HOMICIDIOS;CULPOSOS;SIN DATOS;0.0
LESIONES;DOLOSAS;CON ARMA BLANCA;7.0
LESIONES;DOLOSAS;CON ARMA DE FUEGO;1.0
LESIONES;DOLOSAS;OTROS;146.0
LESIONES;DOLOSAS;SIN DATOS;14.0
LESIONES;CULPOSAS;CON ARMA BLANCA;0.0
LESIONES;CULPOSAS;CON ARMA DE FUEGO;0.0
DELITOS PATRIMONIALES;ABUSO DE CONFIANZA;ABUSO DE CONFIANZA;54.0
DELITOS PATRIMONIALES;DAÑO EN PROPIEDAD AJENA;DAÑO EN PROPIEDAD AJENA;255.0
DELITOS PATRIMONIALES;EXTORSION;EXTORSION;3.0
DELITOS PATRIMONIALES;FRAUDE;FRAUDE;71.0
DELITOS PATRIMONIALES;DESPOJO;CON VIOLENCIA;0.0
DELITOS PATRIMONIALES;DESPOJO;SIN VIOLENCIA;15.0
DELITOS PATRIMONIALES;DESPOJO;SIN DATOS;0.0
DELITOS SEXUALES (VIOLACION);VIOLACION;VIOLACION;9.0
HOMICIDIOS;DOLOSOS;CON ARMA DE FUEGO;1.0
HOMICIDIOS;DOLOSOS;CON ARMA BLANCA;0.0
HOMICIDIOS;DOLOSOS;OTROS;2.0
HOMICIDIOS;DOLOSOS;SIN DATOS;0.0
HOMICIDIOS;CULPOSOS;CON ARMA DE FUEGO;0.0
HOMICIDIOS;CULPOSOS;CON ARMA BLANCA;0.0
LESIONES;CULPOSAS;OTROS;47.0
LESIONES;CULPOSAS;SIN DATOS;0.0
OTROS DELITOS;AMENAZAS;AMENAZAS;89.0
OTROS DELITOS;ESTUPRO;ESTUPRO;2.0
OTROS DELITOS;OTROS SEXUALES;OTROS SEXUALES;10.0
OTROS DELITOS;RESTO DE LOS DELITOS (OTROS);RESTO DE LOS DELITOS (OTROS);222.0
PRIV. DE LA LIBERTAD (SECUESTRO);SECUESTRO;SECUESTRO;1.0
ROBO COMUN;CON VIOLENCIA;A CASA HABITACION;1.0
ROBO COMUN;CON VIOLENCIA;A NEGOCIO;14.0
ROBO COMUN;CON VIOLENCIA;DE VEHICULOS;2.0
ROBO COMUN;CON VIOLENCIA;A TRANSPORTISTAS;12.0
ROBO COMUN;CON VIOLENCIA;A TRANSEUNTES;12.0
ROBO COMUN;CON VIOLENCIA;OTROS;1.0
ROBO COMUN;CON VIOLENCIA;SIN DATOS;0.0
ROBO COMUN;SIN VIOLENCIA;A CASA HABITACION;185.0
ROBO COMUN;SIN VIOLENCIA;A NEGOCIO;125.0
ROBO COMUN;SIN VIOLENCIA;DE VEHICULOS;49.0
ROBO COMUN;SIN VIOLENCIA;A TRANSPORTISTAS;4.0
ROBO COMUN;SIN VIOLENCIA;A TRANSEUNTES;39.0
ROBO COMUN;SIN VIOLENCIA;OTROS;125.0
ROBO COMUN;SIN VIOLENCIA;SIN DATOS;0.0
ROBO DE GANADO (ABIGEATO);ABIGEATO;ABIGEATO;14.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;A BANCOS;0.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;A CASA DE BOLSA;0.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;A CASA DE CAMBIO;0.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;A EMPRESA DE TRASLADO DE VALORES;0.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;OTROS;0.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;SIN DATOS;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;A BANCOS;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;A CASA DE BOLSA;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;A CASA DE CAMBIO;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;A EMPRESA DE TRASLADO DE VALORES;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;OTROS;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;SIN DATOS;0.0
ROBO EN CARRETERAS;CON VIOLENCIA;A CAMIONES DE CARGA;0.0
ROBO EN CARRETERAS;CON VIOLENCIA;A AUTOBUSES;0.0
ROBO EN CARRETERAS;CON VIOLENCIA;A VEHICULOS PARTICULARES;0.0
ROBO EN CARRETERAS;CON VIOLENCIA;OTROS;0.0
ROBO EN CARRETERAS;CON VIOLENCIA;SIN DATOS;0.0
ROBO EN CARRETERAS;SIN VIOLENCIA;A CAMIONES DE CARGA;0.0
ROBO EN CARRETERAS;SIN VIOLENCIA;A AUTOBUSES;0.0
ROBO EN CARRETERAS;SIN VIOLENCIA;A VEHICULOS PARTICULARES;1.0
ROBO EN CARRETERAS;SIN VIOLENCIA;OTROS;0.0
ROBO EN CARRETERAS;SIN VIOLENCIA;SIN DATOS;0.0
HOMICIDIOS;CULPOSOS;OTROS;14.0
HOMICIDIOS;CULPOSOS;SIN DATOS;0.0
LESIONES;DOLOSAS;CON ARMA BLANCA;8.0
LESIONES;DOLOSAS;CON ARMA DE FUEGO;4.0
LESIONES;DOLOSAS;OTROS;188.0
LESIONES;DOLOSAS;SIN DATOS;20.0
LESIONES;CULPOSAS;CON ARMA BLANCA;1.0
LESIONES;CULPOSAS;CON ARMA DE FUEGO;0.0
DELITOS PATRIMONIALES;ABUSO DE CONFIANZA;ABUSO DE CONFIANZA;70.0
DELITOS PATRIMONIALES;DAÑO EN PROPIEDAD AJENA;DAÑO EN PROPIEDAD AJENA;256.0
DELITOS PATRIMONIALES;EXTORSION;EXTORSION;5.0
DELITOS PATRIMONIALES;FRAUDE;FRAUDE;54.0
DELITOS PATRIMONIALES;DESPOJO;CON VIOLENCIA;0.0
DELITOS PATRIMONIALES;DESPOJO;SIN VIOLENCIA;11.0
DELITOS PATRIMONIALES;DESPOJO;SIN DATOS;0.0
DELITOS SEXUALES (VIOLACION);VIOLACION;VIOLACION;7.0
HOMICIDIOS;DOLOSOS;CON ARMA DE FUEGO;5.0
HOMICIDIOS;DOLOSOS;CON ARMA BLANCA;0.0
HOMICIDIOS;DOLOSOS;OTROS;1.0
